ID,antenna,bin,duration,min_dist,max_dist
1,1,227.458333333333,0.002847222222271739,0,32
1,1,227.5,0.008738425925997717,0,32
1,1,227.541666666667,0.0011805555556065883,0,32
1,1,227.583333333333,7.175925926787841e-4,0,32
1,1,227.625,0.0019328703703820338,0,32
1,1,227.666666666667,0.00896990740747583,0,32
1,1,227.708333333333,0.0011111111111006267,0,32
1,1,228.666666666667,2.4305555558612468e-4,0,32
1,2,227.416666666667,0.011377314814581041,0,42
1,2,227.458333333333,0.010995370370494584,0,42
1,2,227.5,0.01696759259274927,0,42
1,2,227.541666666667,0.011296296296421815,0,42
1,2,227.583333333333,0.0035532407408709332,0,42
1,2,227.625,0.007349537037129039,0,42
1,2,227.666666666667,0.012731481481438323,0,42
1,3,227.708333333333,0.003344907407466735,9,74
1,4,227.708333333333,0.005532407407542905,18,83
1,5,227.708333333333,0.0022337962963661084,51,111
1,6,227.708333333333,0.0037384259259169994,60,119
1,7,228.75,2.3148148147811298e-4,97,157
1,8,228.416666666667,0.010347222222179653,105,166
1,8,228.458333333333,0.0010648148148391101,105,166
1,8,228.541666666667,8.564814815201771e-4,105,166
1,8,228.625,2.8935185184764123e-4,105,166
1,8,228.666666666667,0.04777777777772485,105,166
1,8,228.708333333333,0.04670138888877773,105,166
1,8,228.75,0.012453703703869223,105,166
1,8,228.791666666667,0.0014467592592950496,105,166
1,9,228.458333333333,2.3148148147811298e-4,146,206
1,9,228.791666666667,0.006215277777727124,146,206
1,9,228.833333333333,0.019016203703614565,146,206
1,9,228.875,0.002789351851902211,146,206
1,9,229.083333333333,2.4305555555770297e-4,146,206
1,9,229.208333333333,2.4305555552928126e-4,146,206
1,10,227.458333333333,2.4305555555770297e-4,152,218
1,10,227.541666666667,2.3148148147811298e-4,152,218
1,10,227.708333333333,2.4305555555770297e-4,152,218
1,10,228.125,2.4305555555770297e-4,152,218
1,10,228.166666666667,2.3148148147811298e-4,152,218
1,10,228.333333333333,2.4305555555770297e-4,152,218
1,10,228.375,2.3148148147811298e-4,152,218
1,10,228.416666666667,2.4305555555770297e-4,152,218
1,10,228.5,2.4305555555770297e-4,152,218
1,10,228.541666666667,0.004004629629577039,152,218
1,10,228.583333333333,0.049953703703636165,152,218
1,10,228.625,0.01586805555550086,152,218
1,10,228.666666666667,0.032766203703886276,152,218
1,10,228.708333333333,0.0165856481481228,152,218
1,10,228.75,0.04847222222232972,152,218
1,10,228.791666666667,0.023425925925977253,152,218
1,10,228.833333333333,0.041851851851816946,152,218
1,10,229,2.4305555555770297e-4,152,218
1,10,229.041666666667,2.4305555552928126e-4,152,218
1,10,229.083333333333,2.4305555555770297e-4,152,218
1,10,229.125,2.4305555555770297e-4,152,218
1,10,229.458333333333,2.430555556145464e-4,152,218
1,10,229.75,2.4305555552928126e-4,152,218
1,12,228.875,0.00232638888886072,230,291
1,13,228.875,4.050925925866977e-4,289,355
1,13,229.041666666667,6.481481481444007e-4,289,355
1,13,229.458333333333,0.01660879629625356,289,355
1,13,229.5,0.03883101851855031,289,355
1,13,229.541666666667,0.028391203703847623,289,355
1,13,229.583333333333,0.020972222222468417,289,355
1,13,229.625,0.024039351851854462,289,355
1,13,229.666666666667,0.015844907407483788,289,355
1,13,229.708333333333,0.017488425925620277,289,355
1,13,229.75,0.023356481481528135,289,355
1,13,229.791666666667,0.033622685185093815,289,355
1,13,229.833333333333,0.04407407407404662,289,355
1,13,229.875,0.04243055555559749,289,355
1,13,229.916666666667,0.05031250000004661,289,355
1,13,229.958333333333,0.036134259259057444,289,355
1,13,230,0.043460648148368364,289,355
1,13,230.041666666667,0.018553240740970978,289,355
1,13,230.083333333333,0.03245370370359524,289,355
1,13,230.125,0.0442129629630017,289,355
1,13,230.166666666667,0.02701388888866063,289,355
1,13,230.208333333333,0.007939814814761803,289,355
1,13,230.25,0.01787037037030359,289,355
1,13,230.291666666667,0.03391203703688461,289,355
1,13,230.333333333333,0.004803240740642423,289,355
1,13,230.375,0.001331018518555993,289,355
1,13,230.416666666667,0.011712962962945994,289,355
1,13,230.458333333333,0.030844907407470146,289,355
1,13,230.5,0.0036226851852063646,289,355
1,13,230.541666666667,0.019791666666634455,289,355
1,13,230.583333333333,0.012754629629654346,289,355
1,13,230.625,0.003935185185156342,289,355
1,13,230.666666666667,7.291666665878438e-4,289,355
1,13,230.708333333333,0.0032523148146879066,289,355
1,13,230.75,0.048275462962863,289,355
1,13,230.791666666667,0.034351851851937454,289,355
1,13,230.833333333333,0.030914351851777155,289,355
1,13,230.875,0.03699074074077657,289,355
1,13,230.916666666667,0.03276620370394312,289,355
1,13,230.958333333333,0.06545138888887436,289,355
1,13,231,0.010081018518576457,289,355
1,13,231.041666666667,0.06858796296299374,289,355
1,13,231.083333333333,0.005069444444586679,289,355
1,13,231.125,0.017858796296337687,289,355
1,13,231.166666666667,0.030196759259183636,289,355
1,13,231.208333333333,0.03597222222225582,289,355
1,13,231.25,0.0290624999997533,289,355
1,13,231.291666666667,0.034155092592584424,289,355
1,13,231.333333333333,0.014444444444222881,289,355
1,13,231.375,0.025034722222130767,289,355
1,13,231.416666666667,0.00645833333334167,289,355
1,14,228.125,2.314814815065347e-4,304,368
1,14,229.458333333333,0.00553240740745764,304,368
1,14,229.5,2.4305555550085955e-4,304,368
1,14,229.541666666667,2.314814815349564e-4,304,368
1,14,230.333333333333,0.03312499999995566,304,368
1,14,230.375,0.025821759259514465,304,368
1,14,230.416666666667,0.03203703703687211,304,368
1,14,230.458333333333,0.0309375000000216,304,368
1,14,230.5,0.007291666666588981,304,368
1,14,230.541666666667,0.020636574073932934,304,368
1,14,230.583333333333,0.029108796296299033,304,368
1,14,230.625,0.04243055555551223,304,368
